scientificname,longitude,latitude,depth,taxonRank,occurrenceStatus,phylum,class,date_time,AphiaID
Synechococcus,-169.883,-63.083,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,101.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,11.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,12.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,133.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,169.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,204.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,25.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,29.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,50.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-169.883,-63.083,75.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
Synechococcus,-170.066,-60.233,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.066,-60.233,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.066,-60.233,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.066,-60.233,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.066,-60.233,60.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.066,-60.233,80.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-22,160572.0
Synechococcus,-170.067,-60.231,10.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,101.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,133.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,162.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,203.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,31.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.231,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-09,160572.0
Synechococcus,-170.067,-60.233,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,11.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,125.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,131.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,15.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,163.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,204.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,30.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,31.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,37.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,52.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,65.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.067,-60.233,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
