Sample ID,lat,lon,Date,Time (GMT),yearday,POC,POC stdev,PON
F149,-29.12267,-26.50817,11/Nov,14:26,315.6014,25.02,0.49,
F150,-29.5075,-27.03935,11/Nov,19:30,315.81251,28.93,2.37,3.436318
F151,-29.91532,-27.59667,11/Nov,23:49,315.99237,13.35,2.69,5.4058435
F152,-30.10842,-27.80913,12/Nov,2:34,316.10696,26.5,1.54,3.12104175
F153,-30.3145,-28.0895,12/Nov,6:56,316.2889,21.83,1.73,3.407642
F154,-30.9311,-28.99433,12/Nov,13:25,316.55904,19,0.6,5.06883775
F155,-31.46067,-29.7213,12/Nov,19:35,316.81598,24.32,0.35,3.76623475
F156,-31.9586,-30.41688,13/Nov,0:32,317.02223,19.59,2.18,3.2961795
F157,-32.17815,-30.73503,13/Nov,2:47,317.11598,26.18,0.26,3.50126875
F158,-32.50017,-31.18383,13/Nov,7:15,317.30209,16.78,4.75,2.47148325
F159,-32.86643,-31.73148,13/Nov,13:31,317.56321,28.9,4.25,2.950715
F160,-33.34215,-32.35798,13/Nov,18:50,317.78473,24.09,6.87,
F161,-33.78113,-32.99578,13/Nov,23:41,317.98682,22.74,0.79,6.390657667
F162,-34.0178,-33.34067,14/Nov,2:23,318.09932,35.01,3.74,3.96071125
F163,-34.21633,-33.62067,14/Nov,7:15,318.30209,33.13,7.15,
F164,-34.81288,-34.47753,14/Nov,13:18,318.55418,32.72,8.79,4.01670875
F165,-35.3169,-35.2233,14/Nov,19:32,318.8139,22.95,1.69,3.39036825
F166,-35.43233,-35.37983,14/Nov,20:37,318.85904,57.78,6.35,10.266159
F167,-35.83163,-35.96178,15/Nov,0:29,319.02015,89.6,1.13,16.9344425
F168,-36.02875,-36.22358,15/Nov,3:20,319.11251,70.01,4.26,10.5757205
F169,-36.0652,-36.25433,15/Nov,4:26,319.18473,87.31,4.62,13.5925425
F170,-36.21083,-36.51217,15/Nov,7:41,319.32015,72.36,4.56,13.2446115
F171,-36.83717,-37.439,15/Nov,14:15,319.59376,44.42,10.62,8.72966
F172,-37.24187,-38.02755,15/Nov,19:26,319.80973,90.17,12.9,16.67738
F173,-37.6675,-38.68062,15/Nov,23:28,319.97779,139.86,5.09,22.9434375
F174,-37.91107,-39.04712,16/Nov,1:50,320.0764,132.28,0.94,35.89172
F175,-38.18567,-39.4675,16/Nov,6:45,320.28126,162.62,42.68,32.1753275
F176,-38.90835,-40.56425,16/Nov,14:14,320.59307,115.09,3.44,16.59221241
F177,-39.33292,-41.20883,16/Nov,19:31,320.81321,72.52,6.59,14.36375
F178,-39.73145,-41.8224,16/Nov,23:20,320.95973,140.99,22.84,29.50216333
F179,-39.98013,-42.20577,17/Nov,2:34,321.10696,149.11,2.13,33.30930278
F180,-40.22967,-42.599,17/Nov,7:15,321.30209,228.98,2.44,39.175085
F181,-40.86257,-43.58363,17/Nov,13:23,321.55765,64.98,3.89,
F182,-41.28978,-44.25387,17/Nov,19:17,321.80348,134.7,5.22,17.71523
F183,-41.73645,-44.96515,17/Nov,23:42,321.98751,87.95,10.72,
F184,-42.13527,-45.61362,18/Nov,4:12,322.17501,75.46,0.24,20.92719625
F185,-42.296,-45.84083,18/Nov,7:17,322.30348,101.1,10.96,17.06453741
F186,-43.03265,-47.04973,18/Nov,14:35,322.60765,74.67,0.58,16.98800233
F187,-43.3494,-47.57138,18/Nov,20:19,322.84654,110.7,14.2,23.1041125
F188,-43.71807,-48.16839,19/Nov,0:52,323.03612,95.66,14.34,20.95541667
F189,-43.93686,-48.52865,19/Nov,3:37,323.15071,84.94,1.68,17.73049533
F190,-44.07283,-48.77917,19/Nov,7:23,323.30765,106.56,16.7,24.00947833
F191,-44.65447,-49.72095,19/Nov,14:29,323.60348,134.49,10.14,24.81953333
F192,-45.00913,-50.31915,19/Nov,20:35,323.85765,141.09,5.57,22.75064
F193,-45.30448,-50.9307,20/Nov,0:46,324.03196,155.92,2.06,32.07006
F194,-45.50742,-51.35175,20/Nov,3:40,324.15279,162.21,20.85,33.97600667
F195,-45.66733,-51.70017,20/Nov,7:18,324.30418,114.7,22.96,
F196,-46.44557,-53.32432,20/Nov,13:47,324.57432,172.07,45.57,37.25108333
