,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F65,15.03817,-34.43267,26/Oct,6:00,299.25001,0.116,0.01,0.012,0.015,0.005,0.016,0.001,0.005,0.001,0.007,0.003,0.07,0.062,0.048,0.006,0.005,0.005,0.007,0.005,0.001,0.001,0.001,0.002,0.006,0.0009999,0.0009999
F66,14.39317,-33.99667,26/Oct,10:33,299.43959,0.167,0.013,0.015,0.022,0.006,0.021,0.0009999,0.009,0.001,0.007,0.003,0.092,0.075,0.081,0.011,0.005,0.008,0.009,0.006,0.0009999,0.0009999,0.002,0.002,0.003,0.0009999,0.0009999
F67,13.96057,-33.67538,26/Oct,13:41,299.57015,0.16,0.01,0.012,0.02,0.005,0.018,0.0009999,0.011,0.002,0.006,0.002,0.095,0.074,0.075,0.011,0.004,0.006,0.006,0.006,0.0009999,0.0009999,0.002,0.002,0.0009999,0.0009999,0.0009999
F68,13.37282,-33.24173,26/Oct,19:18,299.80418,0.126,0.008,0.013,0.017,0.006,0.019,0.0009999,0.006,0.001,0.007,0.002,0.084,0.066,0.05,0.01,0.004,0.004,0.007,0.006,0.0009999,0.0009999,0.002,0.001,0.0009999,0.0009999,0.0009999
F69,12.8587,-32.86732,26/Oct,22:59,299.95765,0.137,0.01,0.013,0.02,0.006,0.019,0.0009999,0.007,0.001,0.005,0.001,0.091,0.066,0.059,0.012,0.004,0.006,0.006,0.007,0.0009999,0.0009999,0.001,0.002,0.0009999,0.0009999,0.0009999
F70,12.40398,-32.53558,27/Oct,2:10,300.09029,0.131,0.011,0.013,0.02,0.005,0.019,0.0009999,0.007,0.0009999,0.005,0.002,0.092,0.06,0.062,0.009,0.004,0.007,0.006,0.007,0.001,0.0009999,0.001,0.002,0.0009999,0.0009999,0.0009999
F71,12.09817,-32.27667,27/Oct,6:51,300.28543,0.1365,0.012,0.0155,0.017,0.006,0.021,0.001,0.006,0.001,0.006,0.003,0.06,0.068,0.059,0.0095,0.005,0.007,0.0085,0.007,0.0009999,0.0009999,0.001,0.003,0.006,0.0009999,0.0009999
F72,11.11533,-31.57717,27/Oct,14:16,300.59446,0.131,0.009,0.011,0.016,0.005,0.017,0.0009999,0.011,0.002,0.005,0.002,0.08,0.065,0.058,0.008,0.004,0.005,0.006,0.005,0.0009999,0.0009999,0.001,0.002,0.005,0.0009999,0.0009999
F73,10.80558,-31.36128,27/Oct,17:46,300.74029,0.1105,0.007,0.012,0.014,0.0045,0.016,0.0009999,0.008,0.001,0.004,0.004,0.083,0.051,0.051,0.0085,0.003,0.004,0.007,0.005,0.0009999,0.0009999,0.001,0.001,0.00099995,0.0009999,0.0009999
F74,9.99085,-30.75985,27/Oct,23:42,300.98751,0.099,0.008,0.01,0.015,0.004,0.016,0.0009999,0.006,0.0009999,0.004,0.002,0.091,0.046,0.046,0.007,0.003,0.005,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
